algorithm,feature,metric,count,pearson,spearman
lzma,most_common_byte_ratio,compression_ratio,1008,-0.29009855315310273,-0.25060063493342022
lzma,most_common_byte_ratio,compression_time_ms,1008,0.20699245042806827,-0.0020765025587314821
lzma,most_common_byte_ratio,decompression_time_ms,1008,0.094003404708158142,0.21794862743568821
lzma,zero_byte_ratio,compression_ratio,1008,0.10135932864049731,0.27068832544712673
lzma,zero_byte_ratio,compression_time_ms,1008,-0.090294165190551154,0.062894681445841386
lzma,zero_byte_ratio,decompression_time_ms,1008,-0.074019777580731569,-0.1071492895966891
lzma,adjacent_repeat_ratio,compression_ratio,1008,-0.40954956375942175,-0.089724758247200581
lzma,adjacent_repeat_ratio,compression_time_ms,1008,-0.061363024605732827,0.15846582830658124
lzma,adjacent_repeat_ratio,decompression_time_ms,1008,-0.052970935861958397,0.26063961105201855
lzma,average_run_length,compression_ratio,1008,-0.23514907327524265,-0.089891531852332882
lzma,average_run_length,compression_time_ms,1008,-0.10977872280667712,0.15942741902948687
lzma,average_run_length,decompression_time_ms,1008,-0.085010785510762854,0.26186844444889396
lzma,max_run_length,compression_ratio,1008,-0.15821539636401918,0.031420266275905447
lzma,max_run_length,compression_time_ms,1008,-0.088290012907455626,0.22279643510295599
lzma,max_run_length,decompression_time_ms,1008,0.029203008701350019,0.35161546080772221
lzma,duplicate_block_ratio,compression_ratio,1008,-0.71342500159729372,-0.86872135111058835
lzma,duplicate_block_ratio,compression_time_ms,1008,-0.20640006665910424,-0.33673604217400183
lzma,duplicate_block_ratio,decompression_time_ms,1008,-0.17455657342926975,-0.060408182234888357
lzma,bigram_diversity,compression_ratio,1008,0.78152445500390089,0.61080132638809559
lzma,bigram_diversity,compression_time_ms,1008,0.062912756417915022,0.17543478068237936
lzma,bigram_diversity,decompression_time_ms,1008,0.02617674357908769,-0.055325439363027522
lzma,segment_entropy_mean,compression_ratio,1008,0.61908289027935548,0.3620592243833346
lzma,segment_entropy_mean,compression_time_ms,1008,-0.10564734287722792,0.017966195952750803
lzma,segment_entropy_mean,decompression_time_ms,1008,-0.18071264423910002,-0.25138779305763448
lzma,segment_entropy_std,compression_ratio,1008,-0.018119846725301633,0.18313684757261092
lzma,segment_entropy_std,compression_time_ms,1008,-0.027064109539922439,0.20349559820669402
lzma,segment_entropy_std,decompression_time_ms,1008,0.15996057494672172,0.25827640521554251
zstd,file_size,compression_ratio,1008,-0.013192052348352246,-0.093212827186656175
zstd,file_size,compression_time_ms,1008,0.5433615558427991,0.82021020428102698
zstd,file_size,decompression_time_ms,1008,0.64762665596817914,0.79313865184228571
zstd,entropy,compression_ratio,1008,0.36317200714491854,0.30012818036850281
zstd,entropy,compression_time_ms,1008,-0.20848290740572567,-0.106205867374605
zstd,entropy,decompression_time_ms,1008,-0.18934898967605288,-0.2159938643853169
