sample_id,feature,value,train_count,train_min,train_max,train_fraction_le_value,outside_train_range
sample_000916,average_run_length,1.0112331810887545,806,1,1489.4545454545455,0.32133995037220842,False
sample_000916,max_run_length,3,806,1,2048,0.34243176178660051,False
sample_000916,duplicate_block_ratio,0.283203125,806,0,0.9999847412109375,0.4665012406947891,False
sample_000916,bigram_diversity,0.010010376609900506,806,6.103515625e-05,1,0.53101736972704716,False
sample_000916,segment_entropy_mean,4.5308248043572874,806,0.99965740922069557,7.9584824388237614,0.45285359801488834,False
sample_000916,segment_entropy_std,0.01271665730923837,806,0,2.6882718577573312,0.60049627791563276,False
sample_000922,file_size,65536,806,16384,1048576,0.51116625310173702,False
sample_000922,entropy,4.5503768411496219,806,0.99987922181299571,7.9998532047907336,0.34863523573200994,False
sample_000922,unique_byte_count,31,806,2,256,0.40446650124069478,False
sample_000922,most_common_byte_ratio,0.1634521484375,806,0.0040407180786132812,0.5064697265625,0.79528535980148884,False
sample_000922,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000922,adjacent_repeat_ratio,0.012527656977187763,806,0,0.99938961118232317,0.33870967741935482,False
sample_000922,average_run_length,1.0126863941899096,806,1,1489.4545454545455,0.33870967741935482,False
sample_000922,max_run_length,4,806,1,2048,0.46277915632754341,False
sample_000922,duplicate_block_ratio,0.355712890625,806,0,0.9999847412109375,0.53349875930521096,False
sample_000922,bigram_diversity,0.0025024795910582134,806,6.103515625e-05,1,0.38585607940446648,False
sample_000922,segment_entropy_mean,4.5382167524611274,806,0.99965740922069557,7.9584824388237614,0.47146401985111663,False
sample_000922,segment_entropy_std,0.010964593651810264,806,0,2.6882718577573312,0.56823821339950376,False
