sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000041,zstd,262144,96311,0.3673973083496094,1.5312,0.2687,True
sample_000042,gzip,1048576,1048914,1.0003223419189453,34.7947,1.0577,True
sample_000042,bz2,1048576,1053210,1.0044193267822266,129.6792,69.7825,True
sample_000042,lzma,1048576,1048688,1.0001068115234375,279.67,2.0516,True
sample_000042,zstd,1048576,1048609,1.0000314712524414,1.3722,0.4363,True
sample_000043,gzip,1048576,157093,0.14981555938720703,1269.4992,2.3511,True
sample_000043,bz2,1048576,168075,0.16028881072998047,93.0733,39.549,True
sample_000043,lzma,1048576,142732,0.13611984252929688,933.498,8.3261,True
sample_000043,zstd,1048576,195841,0.1867685317993164,4.9293,2.2559,True
sample_000044,gzip,1048576,1574,0.0015010833740234375,1.3049,0.6541,True
sample_000044,bz2,1048576,148,0.000141143798828125,149.8753,5.808,True
sample_000044,lzma,1048576,292,0.000278472900390625,19.3127,2.9789,True
sample_000044,zstd,1048576,112,0.0001068115234375,0.4381,0.7949,True
sample_000045,gzip,1048576,3261,0.0031099319458007812,4.4523,0.7083,True
sample_000045,bz2,1048576,4687,0.004469871520996094,5.6032,3.0194,True
sample_000045,lzma,1048576,2680,0.00255584716796875,23.9946,3.3064,True
sample_000045,zstd,1048576,3473,0.0033121109008789062,0.4977,0.4742,True
sample_000046,gzip,1048576,137252,0.13089370727539062,26.4051,1.5224,True
sample_000046,bz2,1048576,104689,0.0998392105102539,144.416,32.7964,True
sample_000046,lzma,1048576,100564,0.09590530395507812,649.8532,11.0756,True
sample_000046,zstd,1048576,172526,0.1645336151123047,5.969,2.6871,True
sample_000047,gzip,1048576,420793,0.40129947662353516,55.7714,2.704,True
sample_000047,bz2,1048576,405553,0.3867654800415039,244.5399,27.1294,True
sample_000047,lzma,1048576,390992,0.3728790283203125,183.5049,11.7959,True
sample_000047,zstd,1048576,408314,0.38939857482910156,4.9065,0.9858,True
sample_000048,gzip,16384,16407,1.00140380859375,0.1778,0.0046,True
sample_000048,bz2,16384,16831,1.02728271484375,2.8968,0.6737,True
sample_000048,lzma,16384,16444,1.003662109375,7.8423,0.0646,True
sample_000048,zstd,16384,16394,1.0006103515625,0.0279,0.0025,True
sample_000049,gzip,16384,7563,0.46160888671875,1.1086,0.061,True
sample_000049,bz2,16384,6453,0.39385986328125,1.6267,0.5201,True
sample_000049,lzma,16384,7236,0.441650390625,8.4706,0.5114,True
sample_000049,zstd,16384,7395,0.45135498046875,0.2257,0.1095,True
sample_000050,gzip,16384,73,0.00445556640625,0.0255,0.0061,True
sample_000050,bz2,16384,68,0.004150390625,4.389,0.2018,True
sample_000050,lzma,16384,128,0.0078125,5.1434,0.0407,True
sample_000050,zstd,16384,26,0.0015869140625,0.0182,0.0035,True
sample_000051,gzip,16384,1923,0.11737060546875,0.3604,0.0264,True
sample_000051,bz2,16384,2429,0.14825439453125,1.1154,0.6171,True
sample_000051,lzma,16384,1464,0.08935546875,9.3964,0.1233,True
sample_000051,zstd,16384,1327,0.08099365234375,0.0283,0.0163,True
sample_000052,gzip,16384,2402,0.1466064453125,0.4654,0.0252,True
sample_000052,bz2,16384,1852,0.113037109375,1.7577,0.3046,True
sample_000052,lzma,16384,2144,0.130859375,9.9765,0.1886,True
sample_000052,zstd,16384,2687,0.16400146484375,0.1093,0.0257,True
sample_000053,gzip,16384,6870,0.4193115234375,0.3008,0.0369,True
sample_000053,bz2,16384,6870,0.4193115234375,2.6607,0.3621,True
sample_000053,lzma,16384,6124,0.373779296875,7.8309,0.4551,True
sample_000053,zstd,16384,6860,0.418701171875,0.092,0.0296,True
sample_000054,gzip,65536,65574,1.000579833984375,1.572,0.0261,True
sample_000054,bz2,65536,66190,1.009979248046875,9.0774,3.126,True
sample_000054,lzma,65536,65600,1.0009765625,20.5921,0.1174,True
sample_000054,zstd,65536,65546,1.000152587890625,0.0581,0.0038,True
sample_000055,gzip,65536,10348,0.15789794921875,57.2145,0.0665,True
sample_000055,bz2,65536,10581,0.1614532470703125,4.7762,1.375,True
sample_000055,lzma,65536,9448,0.1441650390625,41.6317,0.6957,True
sample_000055,zstd,65536,12272,0.187255859375,0.281,0.1232,True
sample_000056,gzip,65536,247,0.0037689208984375,0.0912,0.0346,True
sample_000056,bz2,65536,153,0.0023345947265625,12.3184,0.9521,True
sample_000056,lzma,65536,176,0.002685546875,5.8086,0.1962,True
sample_000056,zstd,65536,52,0.00079345703125,0.0224,0.01,True
sample_000057,gzip,65536,263,0.0040130615234375,0.3567,0.0414,True
sample_000057,bz2,65536,503,0.0076751708984375,0.6283,0.2213,True
sample_000057,lzma,65536,300,0.00457763671875,5.6138,0.2218,True
sample_000057,zstd,65536,202,0.003082275390625,0.0252,0.0228,True
sample_000058,gzip,65536,27106,0.413604736328125,5.501,0.2409,True
