sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000042,gzip,1048576,1048914,1.0003223419189453,31.5952,1.3864,True
sample_000042,bz2,1048576,1053805,1.0049867630004883,158.9506,72.899,True
sample_000042,lzma,1048576,1048688,1.0001068115234375,325.5427,2.3432,True
sample_000042,zstd,1048576,1048609,1.0000314712524414,1.508,0.4364,True
sample_000043,gzip,1048576,157123,0.14984416961669922,1450.0146,1.7134,True
sample_000043,bz2,1048576,167961,0.16018009185791016,94.3708,52.8833,True
sample_000043,lzma,1048576,143060,0.13643264770507812,1119.7514,9.6903,True
sample_000043,zstd,1048576,195876,0.18680191040039062,5.4081,2.3526,True
sample_000044,gzip,1048576,1573,0.0015001296997070312,1.3844,0.8274,True
sample_000044,bz2,1048576,137,0.00013065338134765625,217.7045,5.6644,True
sample_000044,lzma,1048576,292,0.000278472900390625,22.0261,3.0666,True
sample_000044,zstd,1048576,112,0.0001068115234375,0.7151,0.8095,True
sample_000045,gzip,1048576,130218,0.12418556213378906,42.3089,1.5638,True
sample_000045,bz2,1048576,88534,0.08443260192871094,18.126,11.037,True
sample_000045,lzma,1048576,85720,0.08174896240234375,437.2656,10.0017,True
sample_000045,zstd,1048576,87996,0.08391952514648438,3.0263,1.9175,True
sample_000046,gzip,1048576,137285,0.13092517852783203,39.2262,1.8659,True
sample_000046,bz2,1048576,80717,0.07697772979736328,144.0816,38.5259,True
sample_000046,lzma,1048576,102996,0.09822463989257812,627.9773,10.0433,True
sample_000046,zstd,1048576,169172,0.16133499145507812,6.0796,2.4757,True
sample_000047,gzip,1048576,414381,0.3951845169067383,84.6855,1.8709,True
sample_000047,bz2,1048576,400547,0.3819913864135742,269.7636,40.0637,True
sample_000047,lzma,1048576,380852,0.3632087707519531,295.3799,16.0794,True
sample_000047,zstd,1048576,408091,0.38918590545654297,6.9989,1.7941,True
sample_000048,gzip,16384,16407,1.00140380859375,0.311,0.0118,True
sample_000048,bz2,16384,16840,1.02783203125,3.6427,1.1181,True
sample_000048,lzma,16384,16444,1.003662109375,10.7198,0.068,True
sample_000048,zstd,16384,16394,1.0006103515625,0.1407,0.0032,True
sample_000049,gzip,16384,5182,0.3162841796875,3.7993,0.0323,True
sample_000049,bz2,16384,4568,0.27880859375,2.1906,0.6099,True
sample_000049,lzma,16384,4932,0.301025390625,11.0242,0.4128,True
